Journal Name,Year Founded,Year S2O-OA initiated,Year S2O ended,Publisher Location,Affiliation,Current Publisher,Discipline,Has author-side fees?,ISSN-L,Wikidata,openAlexID,2020-Count,2021-Count,2022-Count,2023-Count,2024-Count,2025-Count
"Statistics, Politics and Policy",2010,2025,N/A,Germany,(none),De Gruyter,SSH,No,2151-7509,Q27725239,S119134901,NA,NA,NA,NA,NA,20
Theoretical Linguistics,1974,2025,N/A,Germany,(none),De Gruyter,SSH,No,0301-4428,Q7782359,S183937543,NA,NA,NA,NA,NA,18
Zeitschrift für Angewandte Linguistik,2010,2025,N/A,Germany,Gesellschaft für Angewandte Linguistik,De Gruyter,SSH,No,1433-9889,Q96335125,S4210184776,NA,NA,NA,NA,NA,27
Zeitschrift für Anglistik und Amerikanistik,1953,2025,N/A,Germany,(none),De Gruyter,SSH,No,0044-2305,Q15750134,S187051950,NA,NA,NA,NA,NA,44
Zeitschrift für Kristallographie - Crystalline Materials,1877,2025,N/A,Germany,(none),De Gruyter,PSM,No,0044-2968,Q186699,S95272069,NA,NA,NA,NA,NA,47
Zeitschrift für Kunstgeschichte,2018,2023,N/A,Germany,(none),De Gruyter,SSH,No,0044-2992,Q186701,S135064885,NA,NA,NA,33,40,45
Zeitschrift für Rechtssoziologie,1980,2025,N/A,Germany,(none),De Gruyter,SSH,No,0172-6404,Q1317529,S192729060,NA,NA,NA,NA,NA,24
Zeitschrift für Sozialreform,1955,2025,N/A,Germany,(none),De Gruyter,SSH,No,0514-2776,Q27716643,S4210217744,NA,NA,NA,NA,NA,15
Zeitschrift für Soziologie,1972,2021,N/A,Germany,(none),De Gruyter,SSH,No,0340-1804,Q186743,S16390937,NA,33,31,34,34,33
Zeitschrift für Tourismuswissenschaft,2009,2023,N/A,Germany,(none),De Gruyter,SSH,No,1867-9501,Q96734315,S4210226810,NA,NA,NA,20,20,27
Zeitschrift für Wirtschaftsgeographie,1982,2021,N/A,Germany,(none),De Gruyter,SSH,No,0044-3751,Q27718525,S185756478,NA,22,22,24,19,NA
Dictionaries: Journal of the Dictionary Society of North America,1979,2025,N/A,USA,Dictionary Society of North America,Dictionary Society of North America,SSH,No,0197-6745,Q96324355,S4306507974,NA,NA,NA,NA,NA,22
Demography,1964,2024,N/A,USA,Population Association of America,Duke University Press,SSH,Yes,0070-3370,Q15716714,S30543418,NA,NA,NA,NA,93,99
Credit and Capital Markets – Kredit und Kapital,1968,2022,N/A,Germany,(none),Duncker & Humblot,SSH,No,2199-1227,Q96332096,S4210192821,NA,NA,35,27,42,1
Journal of Contextual Economics,1871,2022,N/A,Germany,(none),Duncker & Humblot,SSH,No,2568-7603,Q96713101,S4210171053,NA,NA,22,16,21,4
Early Theatre: A Journal associated with the Records of Early English Drama,1998,2025,N/A,USA,,Early Theatre,SSH,No,1206-9078,Q5326755,S20368976,NA,NA,NA,NA,NA,35
Afghanistan,2018,2024,N/A,UK,(none),Edinburgh University Press,SSH,No,2399-357X,Q96698021,S4210231674,NA,NA,NA,NA,27,7
Journal of Holy Land and Palestine Studies,2003,2024,N/A,UK,(none),Edinburgh University Press,SSH,No,1474-9475,Q15708816,S4210186684,NA,NA,NA,NA,24,NA
Astronomy & Astrophysics (A&A),1969,2022,N/A,France,The European Southern Observatory (ESO),EDP Sciences,PSM,Yes,0004-6361,Q752075,S205231332,NA,NA,2134,2366,3441,4043
"ESAIM: Control, Optimisation and Calculus of Variations (COCV)",1996,2021,N/A,France,(none),EDP Sciences,PSM,No,1262-3377,Q2301560,S142457147,NA,111,90,91,94,101
ESAIM: Mathematical Modelling and Numerical Analysis (M2AN),1967,2021,N/A,France,(none),EDP Sciences,PSM,No,0764-583X,Q15817457,S108887460,NA,88,80,120,82,114
ESAIM: Probability and Statistics (PS),1997,2021,N/A,France,(none),EDP Sciences,PSM,No,1292-8100,Q15817927,S70412728,NA,19,22,22,15,17
Mathematical Modelling of Natural Phenomena (MMNP),2006,2020,N/A,France,(none),EDP Sciences,PSM,No,0973-5348,Q15766772,S15090102,90,48,48,40,23,32
RAIRO - Operations Research,1968,2021,N/A,France,(none),EDP Sciences,PSM,No,0399-0559,Q15765338,S20631277,NA,194,213,199,236,199
RAIRO – Theoretical Informatics and Applications,1974,2021,N/A,France,(none),EDP Sciences,PSM,No,0988-3754,Q15753263,S6941720,NA,13,9,12,19,21
Annales de l’Institut Henri Poincaré D,2014,2022,N/A,Germany,European Mathematical Society,EMS Press,PSM,No,2429-7100,Q96326370,S4210188819,NA,NA,34,37,35,38
Annales de l'Institut Henri Poincaré C,1984,2022,N/A,Germany,European Mathematical Society,EMS Press,PSM,No,0246-0211,Q2071903,S27783554,NA,NA,121,141,126,126
Commentarii Mathematici Helvetici,1929,2022,N/A,Germany,European Mathematical Society &  Swiss Mathematical Society,EMS Press,PSM,No,0010-2571,Q5152387,S175700853,NA,NA,24,18,21,26
Elemente der Mathematik,1946,2022,N/A,Germany,European Mathematical Society &  Swiss Mathematical Society,EMS Press,PSM,No,0013-6018,Q15759013,S4210222070,NA,NA,23,26,28,23
EMS Surveys in Mathematical Sciences,2014,2020,N/A,Germany,European Mathematical Society,EMS Press,PSM,No,2308-2151,Q53952131,S4210233088,2,17,3,22,9,24
"Groups, Geometry, and Dynamics",2007,2020,N/A,Germany,European Mathematical Society,EMS Press,PSM,No,1661-7207,Q5611320,S58492650,60,46,52,67,88,97
Interfaces and Free Boundaries,1999,2020,N/A,Germany,European Mathematical Society,EMS Press,PSM,No,1463-9963,Q15407889,S90065678,18,19,19,18,34,19
Journal of Combinatorial Algebra,2017,2020,N/A,Germany,European Mathematical Society,EMS Press,PSM,No,2415-6302,Q96712777,S4210183405,13,8,10,16,23,13
Journal of Fractal Geometry,2014,2020,N/A,Germany,European Mathematical Society,EMS Press,PSM,No,2308-1309,Q96714865,S4210206932,13,14,8,22,16,21
Journal of Noncommutative Geometry,2007,2020,N/A,Germany,European Mathematical Society,EMS Press,PSM,No,1661-6952,Q15441549,S98390336,47,45,33,73,52,43
Journal of Spectral Theory,2011,2020,N/A,Germany,European Mathematical Society,EMS Press,PSM,No,1664-039X,Q96329431,S4210171271,41,57,29,58,60,49
Journal of the European Mathematical Society,1999,2021,N/A,Germany,European Mathematical Society,EMS Press,PSM,No,1435-9855,Q6296136,S88235189,NA,149,123,102,167,174
L'Enseignement Mathématique,1899,2023,N/A,Germany,European Mathematical Society &  International Commission on Mathematical Instruction,EMS Press,PSM,No,0013-8584,Q15749411,S4210229925,NA,NA,NA,17,36,10
Mathematical Statistics and Learning,2018,2020,N/A,Germany,European Mathematical Society,EMS Press,PSM,No,2567-3165,Q1662631,S4210212605,90,120,127,119,144,155
Memoirs of the European Mathematical Society,2022,2024,N/A,Germany,European Mathematical Society,EMS Press,PSM,No,0944-0283,Q124329335,s4393919431,NA,NA,NA,NA,7,12
Portugaliae Mathematica,1937,2022,N/A,Germany,European Mathematical Society & Portuguese Mathematical Society,EMS Press,PSM,No,0032-5155,Q7232584,S160572370,NA,NA,24,22,22,22
Publications of the Research Institute for Mathematical Sciences,1965,2023,N/A,Germany,European Mathematical Society & Research Institute for Mathematical Sciences of Kyoto University,EMS Press,PSM,No,0034-5318,Q15492789,S40062587,NA,NA,NA,23,28,24
Quantum Topology,2010,2020,N/A,Germany,European Mathematical Society,EMS Press,PSM,No,1663-487X,Q96330482,S71154276,13,14,7,27,34,20
Rendiconti del Seminario Matematico della Università di Padova,1930,2023,N/A,Germany,European Mathematical Society & Università degli Studi di Padova,EMS Press,PSM,No,0041-8994,Q7312843,S195149062,NA,NA,NA,43,25,17
